CLAIM NO,EMPLOYER NAME,EMPLOYER CITY,ST,ZIP,INDUSTRY,INDUSTRY (IF OTHER),SOURCE (URL),NOTES
LLVA59000,IRWIN HOLDINGS LLC,YORKTOWN,VA,23692,,,,
LLVA59004,PRISTINE SERVICES,GLEN ALLEN,VA,23059,Cleaning services,,,
LLVA59005,"EAST LAKE - SUNSET CAY, LLC",MONETTA,VA,24104,Restaurant,,,
LLVA59017,SOWING SEEDS DAYCARE & PRESCHOOL,VIRGINIA BEACH,VA,23462,Other (provide detail in column to the right),Child Care,,
LLVA59019,CHILDRESS FAMILY TRUCKING,WYTHEVILLE,VA,24382,Transportation,,,
LLVA59020,ARI PHOENIX,MANASSAS,VA,20109,Retail,,,
LLVA59021,CAREFIRST HEALTHCARE,FALLS CHURCH,VA,22044,Healthcare/Medicine,,,
LLVA59024,"ENGLISH BODY WORKS, INC.",RICHMOND,VA,23236,,,,
LLVA59025,RED ROSE BANQUET AND EVENT CENTER,MANASSAS,VA,20111,,,,
LLVA59030,CICI'S PIZZA,CHARLOTTESVILLE,VA,22901,Restaurant,,,
LLVA59031,"BRANE-STROM, LLC",MIDDLEBURG,VA,20117,,,,
LLVA59034,"PHELPS LLC, AND LATOYA PHELPS-CORBIN, INDIVIDUALLY",VIRGINIA BEACH,VA,23462,,,,
LLVA59035,CROWNE PLAZA HAMPTON MARINA,HAMPTON,VA,23669,Hospitality,,,
LLVA59037,COLONIAL RESEARCH AND CONSULTING,WILLIAMSBURG,VA,23185,,,,
LLVA59038,TROPICAL SMOOTHIE,HAMPTON,VA,23669,Restaurant,,,
LLVA59039,MARK WILLIAMS CLEANING SERVICE,VIRGINIA BEACH,VA,23452,Cleaning services,,,
LLVA59040,EACH ONE COUNTS YOUTH AND FAMILY SERVICES,RICHMOND,VA,23225,,,,
LLVA59042,LIGHTHOUSE TRUCK AND AUTO,DILLWYN,VA,23936,,,,
LLVA59047,"PROVING GROUNDS, LLC",GLEN ALLEN,VA,23059,,,,
LLVA59048,SUFFOLK AUTOMOTIVE SERVICES,SUFFOLK,VA,23434,,,,
LLVA59049,DAY STAR HOME CARE,SPRINGFIELD,VA,22151,Healthcare/Medicine,,,
LLVA59050,DIVERSIFIED CLEANING SERVICES,CHESAPEAKE,VA,23320,Cleaning services,,,
LLVA59051,LINDSEY HARRINGTON,NA,NA,NA,,,,
LLVA59052,LINDSEY HARRINGTON,NA,NA,NA,,,,
LLVA59053,DOCKSIDE HEALTH & REHAB,LOCUST HILL,VA,23092,Healthcare/Medicine,,,
LLVA59054,"BH CONTRACTING, LLC",RICHARDSVILLE,VA,22736,Contracting/Construction,,,
LLVA59055,HOT MIXX LLC,BROAD RUN,VA,20137,,,,
LLVA59056,SPRINGER AGENCY,MIDLOTHIAN,VA,23112,,,,
LLVA59057,"JYKERN, INC",KISSIMMEE,FL,34747,,,,
LLVA59058,JCS CONSTRUCTION,MANNASSAS,VA,20111,Contracting/Construction,,,
LLVA59059,"AMERICAN SECURITY ENFORCEMENT, INC.",LYNCHBURG,VA,24502,,,,
LLVA59060,J'S AUTO CLEANING SERVICE,CHESAPEAKE,VA,23320,Cleaning services,,,
LLVA59061,"D3 VENTURES, LLC DBA VAGABOND",RICHMOND,VA,23219,,,,
LLVA59062,"PRIMA HOME HEALTH, INC",CHANTILLY,VA,20151,Healthcare/Medicine,,,
LLVA59063,CUMBERLAND HOSPITAL,NEW KENT,VA,23124,Healthcare/Medicine,,,
LLVA59064,ABC TRUCK AND TIRE REPAIR INC.,STAFFORD,VA,22405,Other (provide detail in column to the right),Automechanic,,
LLVA59065,SUBWAY,VIRGINIA BEACH,VA,23462,Restaurant,,,
LLVA59066,"PRIME PRESENTATIONS, LLC",GARLAND,TX,75043,Other (provide detail in column to the right),Advertising / Marketing,,
LLVA59067,ARI PHOENIX,MANASSAS,VA,20109,Retail,,,
LLVA59068,BJS PLASTER & DRYWALL REPAIR,CHESAPEAKE,VA,23323,Contracting/Construction,,,
LLVA59069,MEREDITH'S SALON,CHRISTIANSBURG,VA,24073,Other (provide detail in column to the right),Beauty ,,
LLVA59070,WIGO CLINIC,FAIRFAX,VA,22031,Retail,,,
LLVA59071,MOUNTAIN DEVELOPMENT INC.,STAUNTON,VA,NA,Other (provide detail in column to the right),Commercial Real Estate,,
LLVA59072,TLC DENTAL TYSONS CORNER,TYSONS CORNER,VA,22182,Healthcare/Medicine,,,
LLVA59075,SMOKIN JOES BBQ,YORKTOWN,VA,23692,Restaurant,,,
LLVA59076,N & R QUALITY CARE,RUTHER GLEN,VA,22546,Healthcare/Medicine,,,
LLVA59077,PUBLIC PARTNERSHIP,GLEN ALLEN,VA,23060,Other (provide detail in column to the right),Business Consultant,,
LLVA59078,"PUBLIC PARTNERSHIPS, LLC",GLEN ALLEN,VA,23060,Other (provide detail in column to the right),Business Consultant,,
LLVA59079,WILLIAMS BROTHERS TREE AND LAWN SERVICE,STAUNTON,VA,24401,Other (provide detail in column to the right),Landscaping,,
LLVA59080,CALIFRESH BISTRO,VIRGINIA BEACH,VA,23454,Restaurant,,,
LLVA59081,"WINK FASTENERS, INC.",CHARLES CITY,VA,23030,Other (provide detail in column to the right),Manufacturing,,
LLVA59082,"MONUMENT PATHOLOGISTS, INC",RICHMOND,VA,23226,Healthcare/Medicine,,,
LLVA59083,BELGIAN WAFFLE AND STEAKHOUSE,NEWPORT NEWS,VA,23608,Restaurant,,,
LLVA59084,RYAN CORPORATION UNLIMITED,FREDERICKSBURG,VA,22402,Contracting/Construction,,,
LLVA59085,WILLIS BROADCASTING CORP,NORFOLK,VA,23510,,,,
LLVA59086,WILLIS BROADCASTING,NORFOLK,VA,23510,,,,
LLVA59087,"EMPIRE PLUMBING, LLC",RICHMOND,VA,23225,,,,
LLVA59088,ALLORA USA,STERLING,VA,20166,,,,
LLVA59089,BODY BALANCE SPA,BLACKSBURG,VA,24060,,,,
LLVA59090,HUNAN GARDEN ENTERPRISE INC.,GAINESVILLE,VA,20155,Restaurant,,,
LLVA59091,WILLIAMS & FOGG ELECTRICAL HEATING PLUMBING,RICHMOND,VA,23220,,,,
LLVA59092,B&B REMODELING & HANDYMAN SERVICES,STAFFORD,VA,22554,,,,
LLVA59093,ARROW STEELE & CONSTRUCTION,NA,NA,NA,Contracting/Construction,,,
LLVA59094,ARROW STEELE & CONSTRUCTION,NA,NA,NA,Contracting/Construction,,,
LLVA59095,SPECTRUM INC,VIENNA,VA,22182,,,,
LLVA59096,THE ROCK BARN,ARRINGTON,VA,22922,,,,
LLVA59097,VA HOME BASED COUNSELING SERVICES,MANASSAS,VA,20109,,,,
LLVA59098,LOMBARDI'S PIZZA,VIENNA,VA,22180,Restaurant,,,
LLVA59099,MICROSOFT,REDMOND,WA,98052,,,,
LLVA59104,CITY IMPORT GALLERY,MANASSAS,VA,20110,,,,
LLVA59105,CHRISTIAN BROADCASTING,NORFOLK,VA,23510,,,,
LLVA59106,"QUICKETTE, INC.",FINCASTLE,VA,24090,,,,
LLVA59107,SOUTH HILL MOOSE LODGE #1872,SOUTH HILL,VA,23970,,,,
LLVA59108,LACASA,RICHMOND,VA,23235,,,,
LLVA59109,TURNING POINTS RESIDENTIAL CARE LLC,PORTSMOUTH,VA,23701,Healthcare/Medicine,,,
LLVA59110,ENGILITY CORPORATION,CHANTILLY,VA,20151,,,,
LLVA59111,"SCOTT EHRENFRIED, DBA CHERRY AUTO, INC.",FREDERICKSBURG,VA,22408,,,,
LLVA59112,WIGO CLINIC,FAIRFAX,VA,22031,Retail,,,
LLVA59113,GREY'S POINT CAMP,URBANNA,VA,23175,,,,
LLVA59114,BON SECOURS RICHMOND HEALTH SYSTEM,RICHMOND,VA,23226,Healthcare/Medicine,,,
LLVA59115,DUNRITE INC.,CHESAPEAKE,VA,23323,,,,
LLVA59116,Q MASTER BILLARDS,VIRGINIA BEACH,VA,23462,,,,
LLVA59119,COLONIAL RESEARCH AND CONSULTING,WILLIAMSBURG,VA,23185,,,,
LLVA59120,"PUBLIC PARTNERSHIPS, LLC",BOSTON,MA,2109,,,,
LLVA59121,DAVIS CAB,KING GEORGE,VA,22485,Transportation,,,
LLVA59122,TOTS AND COMPANY CHILDCARE,SOUTH BOSTON,VA,24592,Other (provide detail in column to the right),Child Care,,
LLVA59123,MORRISON MANAGEMENT SPECIALISTS,ATLANTA,GA,30342,,,,
LLVA59124,VA CLEAN WAY,NORFOLK,VA,23502,Cleaning services,,,
LLVA59125,ALAMI'S NEW YORK PIZZA,NORFOLK,VA,23502,Restaurant,,,
LLVA59126,CHESTERFIELD BERRY FARM,MOSLEY,VA,23120,,,,
LLVA59127,"ROCC'S HAULING, INC.",HAMPTON,VA,23663,Transportation,,,
LLVA59128,NEWTON ENTERPRISES,CHESAPEAKE,VA,23320,,,,
LLVA59129,AGELESS DERMATOLOGY,WILLIAMSBURG,VA,23188,Healthcare/Medicine,,,
LLVA59130,PUGLIESSE CONSTRUCTION INC,N. CHESTERFIELD,VA,23237,Contracting/Construction,,,
LLVA59131,4CORE TECHNOLOGY GROUP,PETERSBURG,VA,23803,,,,
LLVA59132,KENNTICO,RICHMOND,VA,23219,,,,
LLVA59133,ABC PROFESSIONAL TREE SERVICE,WEBSTER,TX,77598,Other (provide detail in column to the right),Landscaping,,
LLVA59134,ABC PROFESSIONAL TREE SERVICE,WEBSTER,TX,77598,Other (provide detail in column to the right),Landscaping,,
LLVA59135,ABC PROFESSIONAL TREE SERVICE,WEBSTER,TX,77598,Other (provide detail in column to the right),Landscaping,,
LLVA59136,"US SECURITY ASSOCIATES, INC",ROSWELL,GA,30076,,,,
LLVA59137,PAX MONDIAL,ARLINGTON,VA,22209,,,,
LLVA59138,UPSIDE TO YOUTH DEVELOPMENT,PETERSBURG,VA,23805,,,,
LLVA59139,ANGEL HOME HEALTH CARE,CHESAPEAKE,VA,23320,Healthcare/Medicine,,,
LLVA59140,BRYANT WOODS ASSISTED LIVING,MIDDLEBURG,VA,20117,Healthcare/Medicine,,,
LLVA59141,MID ATLANTIC GLASS,VIRGINIA BEACH,VA,23453,,,,
LLVA59142,HCC PERSONAL CARE,PRINCE GEORGE,VA,23875,,,,
LLVA59143,KELLY SERVICES,BRISTOL,VA,24201,Other (provide detail in column to the right),Staffing,,
LLVA59144,BECKER FINANACIAL INC.,CHESAPEAKE,VA,23320,,,,
LLVA59145,A CLEANING SOLUTION,RICHMOND,VA,23235,Cleaning services,,,
LLVA59146,DON JOHNS,GAINSVILLE,VA,20155,,,,
LLVA59147,SALVATION ARMY,NORFOLK,VA,23502,,,,
LLVA59148,CR GILLEY,MANAKIN SABOT,VA,23103,,,,
LLVA59154,SAKURA JAPANESE STEAK-SEAFOOD,LYNCHBURG,VA,24502,Restaurant,,,
LLVA59155,NU TECHNOLOGIES,POWHATAN,VA,23139,,,,
LLVA59156,GREATER RICHMOND ARC,CHESTERFIELD,VA,23834,,,,
LLVA59157,SOUTHSIDE OFFROAD & AUTO REPAIR LLC,RICE,VA,NA,,,,
LLVA59161,UNIVERSITY OF NORTH AMERICA,VIENNA,VA,22182,,,,
LLVA59162,CENTRAL HARDWARE SUPPLY,RICHMOND,VA,23238,Retail,,,
LLVA59163,ULTA,FREDERICKSBURG,VA,22407,Retail,,,
LLVA59164,HUNT & COMPANY,WOODBRIDGE,VA,22191,,,,
LLVA59165,ENTERTAINMENT INDUSTRIES INC.,VIRGINIA BEACH,VA,23462,,,,
LLVA59166,MLP,HAMPTON,VA,23605,,,,
LLVA59167,ALPHA COUNSELLORS SERVICE INC.,HAMPTON,VA,23666,,,,
LLVA59168,AMERICAN MECHANICAL,VIRGINIA BEACH,VA,23451,,,,
LLVA59169,UPS,RICHMOND,VA,23237,Transportation,,,
LLVA59170,N & R QUALITY CARE,RUTHER GLEN,VA,22546,,,,
LLVA59171,BLACKFIN AMERIPUB,VIENNA,VA,22180,,,,
LLVA59172,MUFFLER & BRAKE KING,VIRGINIA BEACH,VA,23462,,,,
LLVA59173,"TBC CORPORATION, INC",CHESAPEAKE,VA,23320,,,,
LLVA59174,N & R QUALITY CARE,RUTHER GLEN,VA,22546,,,,
LLVA59175,NORFOLK PUBLIC SCHOOL,NORFOLK,VA,23550,,,,
LLVA59176,SUPERIOR HOME BUILDERS,VERNAL,UT,84078,Contracting/Construction,,,
LLVA59177,HAMPTON ROADS PEDIATRIC DENTISTRY,NEWPORT NEWS,VA,23606,Healthcare/Medicine,,,
LLVA59178,CAVALIER KENNELS,FRONT ROYAL,VA,22630,,,,
LLVA59179,BY GRACE HOME CARE,NEWPORT NEWS,VA,23608,Healthcare/Medicine,,,
LLVA59180,CJW MEDICAL CENTER,RICHMOND,VA,23235,Healthcare/Medicine,,,
LLVA59181,STEFFENIE SYMONE ENTERPRISES,VIRGINIA BEACH,VA,23462,,,,
LLVA59182,ELITE HOME HEALTH CARE,NEWPORT NEWS,VA,23606,Healthcare/Medicine,,,
LLVA59183,PURYEAR TRUCKING,CHESAPEAKE,VA,23321,,,,
LLVA59184,RHONDA'S SKIN CARE,RICHMOND,VA,23220,,,,
LLVA59191,JOVAL AIRDALES,HAYMARKET,VA,20169,,,,
LLVA59192,"TRINITY PROTECTION SERVICES, INC.",LARGO,MD,20774,,,,
LLVA59193,NATURAL NAIL CARE CLINIC,MIDLOTHIAN,VA,23112,,,,
LLVA59194,"CARLISLE LIVING, LLC",CHESAPEAKE,VA,23324,,,,
LLVA59195,THE FOUNTAINS AT WASHINGTON HOUSE,ALEXANDRIA,VA,22311,,,,
LLVA59196,"CABLE TECHNOLOGY COMMUNICATION, LLC",SANDSTON,VA,23150,,,,
LLVA59197,"COMMONWEALTH POWERSPORTS, LLC",PRINCE GEORGE,VA,23875,,,,
LLVA59198,PETERSBURG PUBLIC SCHOOL SYSTEM,PETERSBURG,VA,23805,,,,
LLVA59199,MASSAGE ELEMENTS OF HOT STONES,FREDERICKSBURG,VA,22407,,,,
LLVA59200,MOODY'S A.V.E.S.,SMITHFIELD,VA,23431,,,,
LLVA59201,CR TRUCKING LLC,DUMFRIES,VA,22026,,,,
LLVA59202,MEP PARTNERS,MANASSAS,VA,20109,,,,
LLVA59203,DUNRITE INC.,CHESAPEAKE,VA,23323,,,,
LLVA59204,NINE MILE AUTO WASH,HENRICO,VA,23223,,,,
LLVA59205,MARY JANE INC.,RICHMOND,VA,23222,,,,
LLVA59206,SMART PROFESSIONALS,SANDY,UT,84070,,,,
LLVA59207,MAC TRADE LLC,STERLING,VA,20166,,,,
LLVA59208,"US SECURITY ASSOCIATES, INC",ROSWELL,GA,30076,,,,
LLVA59209,4CORE TECHNOLOGY GROUP,PETERSBURG,VA,23803,,,,
LLVA59210,TAX TROOP,CHESTERFIELD,VA,23236,,,,
LLVA59211,LIFE IS GOLDEN,PORTSMOUTH,VA,23701,,,,
LLVA59212,TADIK CORPORATION/ANYTIME FITNESS,WOODBRIDGE,VA,22192,,,,
LLVA59213,"SPECTRUM COMM, INC.",NEWPORT NEWS,VA,23606,,,,
LLVA59214,PUBLIC ELECTRONICS,SAUSALITO,CA,94965,,,,
LLVA59215,PUBLIC ELECTRONICS,SAUSALITO,CA,94965,,,,
LLVA59216,PUBLIC ELECTRONICS,SAUSALITO,CA,94965,,,,
LLVA59220,NEWTON ENTERPRISES,CHESAPEAKE,VA,23320,,,,
LLVA59222,AXCESS FINANCIAL,CINCINNATI,OH,45236,,,,
LLVA59223,BOB & EDITH'S DINER,SPRINGFIELD,VA,22150,Restaurant,,,
LLVA59224,WILLIAMS & FOGG SERVICES,RICHMOND,VA,23220,,,,
LLVA59225,INTEGRITY STAFFING SOLUTIONS,CHESTER,VA,23831,Other (provide detail in column to the right),Staffing,,
LLVA59226,WYLD & CO LLC,HENRICO,VA,23228,,,,
LLVA59227,DAYSTAR HOME CARE,SPRINGFIELD,VA,22151,,,,
LLVA59228,INTERSTATE REMODELING SERVICES,ARLINGTON,VA,22204,,,,
LLVA59229,OVERCOMERS DAY SERVICES,RICHMOND,VA,23225,,,,
LLVA59230,"COMMONHEALTH COUNSELING GROUP, LLC",MECHANICSVILLE,VA,23111,,,,
LLVA59231,BUSINESSVENTURES.COM,STERLING,VA,20166,,,,
LLVA59232,GANN TRUCKING COMPANY,FREDERICKSBURG,VA,22406,,,,
LLVA59233,SERENITY  HOME HEALTHCARE,CHESAPEAKE,VA,23321,Healthcare/Medicine,,,
LLVA59234,SWIFT AIR LOGISTICS,RUCKERSVILLE,VA,22968,,,,
LLVA59235,KINNEY RECRUITING,AUSTIN,TX,78701,Other (provide detail in column to the right),Staffing,,
LLVA59236,PUBLIC ELECTRONICS,SAUSALITO,CA,94965,,,,
LLVA59237,RTC ELECTRICAL SERVICES,WINCHESTER,VA,22602,,,,
LLVA59238,RESTAURANT EVE,ALEXANDRIA,VA,22314,Restaurant,,,
LLVA59239,PATRIOT DRUG AND DNA TESTING,ROANOKE,VA,24019,,,,
LLVA59240,CVS,ANNANDALE,VA,22003,Retail,,,
LLVA59243,THE ADELLSEN GROUP LLC,ALEXANDRIA,VA,22314,,,,
LLVA59245,"RODDON V, LLC",STAFFORD,VA,22554,,,,
LLVA59246,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59248,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59249,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59250,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59251,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59252,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59253,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59254,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59255,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59256,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59257,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59258,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59259,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59260,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59261,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59262,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59263,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59264,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59265,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59266,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59267,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59268,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59269,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59270,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59271,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59272,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59273,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59274,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59275,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59276,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59277,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59278,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59279,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59280,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59281,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59282,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59283,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59284,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59285,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59286,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59287,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59288,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59289,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59290,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59291,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59292,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59293,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59294,PUBLIC PARTNERSHIP,GLEN ALLEN,VA,23060,,,,
LLVA59295,LOWERS RISK GROUP,PURCELLVILLE,VA,20132,,,,
LLVA59296,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59297,SHEEHY,NA,NA,NA,,,,
LLVA59298,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59299,SERVPRO,CHARLES CITY,VA,23030,Cleaning services,,,
LLVA59300,SHEPPARD'S XTREME SERVICES,VIRGINIA BEACH,VA,23455,,,,
LLVA59301,N.E.A.T.,CHESAPEAKE,VA,23323,,,,
LLVA59302,"TRUE DESTINY HOME HEALTHCARE, LLC",PORTSMOUTH,VA,23701,Healthcare/Medicine,,,
LLVA59303,"LANGE-FISCHER HEALTH & FITNESS, LLC DBA CURVES",OILVILLE,VA,23129,,,,
LLVA59304,NATIONAL DEMOLTION ENVIRONMENTAL,WARRENTON,VA,20186,,,,
LLVA59305,RHRC,VIRGINIA BEACH,VA,23454,,,,
LLVA59306,ORION WALL SYSTEMS,RICHMOND,VA,23226,,,,
LLVA59307,ORION WALL SYSTEMS,RICHMOND,VA,23226,,,,
LLVA59308,ORION WALL SYSTEMS,RICHMOND,VA,23226,,,,
LLVA59309,NATIONAL DEMOLITION AND ENVIRONMENTAL,WARRENTON,VA,NA,,,,
LLVA59310,BY GRACE HOME CARE,NEWPORT NEWS,VA,23608,Healthcare/Medicine,,,
LLVA59311,WHOLE DOGZ,ALEXANDRIA,NA,NA,,,,
LLVA59312,AMERICAN ENTERPRISE SOLUTIONS,ROANOKE,VA,24018,,,,
LLVA59313,KOHL'S,MECHANICSVILLE,VA,23111,Retail,,,
LLVA59314,ACCUMARK,ASHLAND,VA,23005,,,,
LLVA59315,WILLIS BROADCASTING CORPORATION,NORFOLK,VA,23510,,,,
LLVA59317,ONEILL PLUMBING,WOODBRIDGE,VA,22191,,,,
LLVA59318,GLITZ NAILS & SPA,YORKTOWN,VA,23693,,,,
LLVA59319,HEARTH WOODFIRE CUISINE & CRAFT BEER,VIRGINIA BEACH,VA,23451,Retail,,,
LLVA59320,"LABIER GERIATRIC II, LLC",ALEXANDRIA,VA,22309,,,,
LLVA59321,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59322,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59323,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59324,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59325,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59326,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59327,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59328,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59329,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59330,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59331,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59332,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59333,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59334,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59335,FIRST TRANSIT,WOODBRIDGE,VA,22192,Transportation,,,
LLVA59336,NEWPORT NEWS PUBLIC SCHOOLS,NEWPORT NEWS,VA,23606,,,,
LLVA59337,PUBLIC PARTNERSHIP,MEDFORD,MA,2155,,,,
LLVA59338,"RESIDENTIAL CARE, INC.",ALEXANDRIA,VA,22314,,,,
LLVA59339,CHANELLO'S PIZZA,NORFOLK,VA,23517,Restaurant,,,
LLVA59340,QUALITY INN & SUITES,STAUNTON,VA,24401,Hospitality,,,
LLVA59341,RAVEN ZAAL DAYCARE,FREDERICKSBURG,VA,NA,Other (provide detail in column to the right),Child Care,,
LLVA59342,MAACO,VIRGINIA BEACH,VA,23455,,,,
LLVA59343,"DR FRANCIS J. DUNNE, DDS",RESTON,VA,20191,Healthcare/Medicine,,,
LLVA59344,SERENITY HOME HEALTH CARE,NORFOLK,VA,23505,Healthcare/Medicine,,,
LLVA59345,"TELVISTA, INC",DANVILLE,VA,24540,,,,
LLVA59346,K+W,SALEM,VA,24153,,,,
LLVA59347,FRANKLIN STREET MARKET,RICHMOND,VA,23220,Restaurant,,,
